Date,Vegetable,Wholesale Price,Retail Price,Shopping Mall Price,Units
29-03-2023,Colocasia,28,34,40,1kg
29-03-2023,Coriander Leaves,6,7,8,1kg
29-03-2023,Corn,28,34,40,1kg
29-03-2023,Cucumber,30,36,43,1kg
29-03-2023,Curry Leaves,28,34,40,1kg
29-03-2023,Dill Leaves,10,12,14,1kg
29-03-2023,Drumsticks,120,145,171,1kg
29-03-2023,Brinjal,20,24,28,1kg
29-03-2023,Brinjal (Big),23,27,33,1kg
29-03-2023,Elephant Yam,29,35,41,1kg
29-03-2023,Fenugreek Leaves,9,10,13,1kg
29-03-2023,French Beans,42,50,59,1kg
29-03-2023,Garlic,58,70,83,1kg
29-03-2023,Ginger,44,53,63,1kg
29-03-2023,Onion Green,44,53,63,1kg
29-03-2023,Green Peas,81,98,115,1kg
29-03-2023,Ivy Gourd,22,26,31,1kg
29-03-2023,Lemon (Lime),54,65,77,1kg
29-03-2023,Mango Raw,98,118,140,1kg
29-03-2023,Mint Leaves,6,7,8,1kg
29-03-2023,Mushroom,72,87,102,1kg
29-03-2023,Mustard Leaves,16,19,22,1kg
29-03-2023,Ladies Finger,50,61,71,1kg
29-03-2023,Pumpkin,24,29,34,1kg
29-03-2023,Radish,25,30,35,1kg
29-03-2023,Ridge Gourd,30,36,43,1kg
29-03-2023,Shallot (Pearl Onion),34,41,48,1kg
29-03-2023,Snake Gourd,30,36,43,1kg
29-03-2023,Sorrel Leaves,14,17,20,1kg
29-03-2023,Spinach,15,18,21,1kg
29-03-2023,Sweet Potato,39,47,55,1kg
28-03-2023,Onion Big,22,26,31,1kg
28-03-2023,Onion Small,56,67,79,1kg
28-03-2023,Tomato,23,27,33,1kg
28-03-2023,Green Chilli,45,54,64,1kg
28-03-2023,Beetroot,30,36,43,1kg
28-03-2023,Potato,31,37,44,1kg
28-03-2023,Raw Banana (Plantain),9,10,13,1kg
28-03-2023,Amaranth Leaves,13,16,18,1kg
28-03-2023,Amla,70,85,100,1kg
28-03-2023,Ash gourd,21,25,30,1kg
28-03-2023,Baby Corn,59,71,84,1kg
28-03-2023,Banana Flower,14,17,20,1kg
28-03-2023,Capsicum,45,54,64,1kg
28-03-2023,Bitter Gourd,33,40,47,1kg
28-03-2023,Bottle Gourd,27,32,38,1kg
28-03-2023,Butter Beans,47,57,67,1kg
28-03-2023,Broad Beans,38,46,54,1kg
28-03-2023,Cabbage,11,13,15,1kg
28-03-2023,Carrot,29,35,41,1kg
28-03-2023,Cauliflower,25,30,35,1kg
28-03-2023,Cluster beans,44,53,63,1kg
28-03-2023,Coconut,28,34,40,1kg
28-03-2023,Colocasia Leaves,13,16,18,1kg
28-03-2023,Colocasia,27,32,38,1kg
28-03-2023,Coriander Leaves,6,7,8,1kg
28-03-2023,Corn,27,32,38,1kg
28-03-2023,Cucumber,29,35,41,1kg
28-03-2023,Curry Leaves,25,30,35,1kg
28-03-2023,Dill Leaves,14,17,20,1kg
28-03-2023,Drumsticks,100,121,142,1kg
28-03-2023,Brinjal,27,32,38,1kg
28-03-2023,Brinjal (Big),29,35,41,1kg
28-03-2023,Elephant Yam,29,35,41,1kg
28-03-2023,Fenugreek Leaves,11,13,15,1kg
28-03-2023,French Beans,42,50,59,1kg
28-03-2023,Garlic,52,63,74,1kg
28-03-2023,Ginger,50,61,71,1kg
28-03-2023,Onion Green,45,54,64,1kg
28-03-2023,Green Peas,83,100,118,1kg
28-03-2023,Ivy Gourd,27,32,38,1kg
